iteration,epcis_ms,pin_ms,notarization_ms,gateway_ms,cid,tx_digest
50,0.03,600.91,3012.01,4973.78,QmesHDh6o6jwrgZutEQbsTMZ2Ee4fijvkBBoDUt2bJeAwb,C1gxJe2DJLdUWDjZgp6dPjLUT8MbHc5fzByjuVZMJpP
51,0.02,601.37,938.44,4682.39,QmVaRpZNjpodUucupxDayJaVnq9VL6gx8jEjtkAXGXwm8M,3Mrbk4VxJNgVDq9k9UkSrKNZYTaaDBE3gbqhPtFqBCXq
52,0.03,569.77,834.27,4654.99,QmR8DsU8VDnLjDk8wNX94xX6gPsij7HebGYrroKw8rhn7R,EWEv15XKGrdWBd6ZdXvws8pvs4RP9RdsLJsN4zAFAxoT
53,0.02,669.08,2947.36,6690.73,QmRrn5c59SzELnQNeDWGgB1vK9SPZ1EEpvjCzS7K5BU7U8,55aBm2YoWdGkhPy7WJNPaLHKLMvkb8HQ3rftnNVYqBqm
54,0.02,591.82,838.03,3975.07,QmNMcbLcPUtTGUb1RPKQQ1T8yfiysq9bq2hJxgA4SoLLfn,6zT9KcLTXST2BaQf7pdMdgc2RDpvP6GQ36cUC9Si3xUr
55,0.02,398.07,879.86,7080.77,QmVgkhdS3MZm5fk8y6fZi8vC2T6zZA5ajqJhYoMU9aCVvu,EXNbf8mJUtjuoYZXvAsvxXpexfDdsAxriRDnxcYJffsk
56,0.03,641.51,804.25,3411.20,Qme9JuHo6XBtTmThUDK83d4UyLjsfDRS6tDpFJVB3ptG6D,DNmZdKTAxX4kj2xJJo3Hx8VA6GkG1opWxkC8d71DvjHn
57,0.02,475.38,762.02,5574.07,QmVxieCFcgvJi9oGRnkCR2AFeh4VMgHLAAhMDyZUdvLktk,bzeWw4JRtsCNuw9deubY8zKLbt2V7Ykt97kZxQaw2NV
58,0.02,746.99,2730.75,47623.85,QmQr789LWgWeFNjmuCzBbLGy3a3iUVCFXCnCRA7W8KJr93,38aoiDepJn1WTX2unUFM2iJCDWH77LFRNUSrws8Uk6D6
59,0.02,635.05,2741.76,6272.86,QmX5y4UwLFy3EAjTFfoTbi8Q9qh1NEUGA7TeZMw3novaEN,AT3WR87aS7xLpPXcXGSJpVBNXEmj47eGzFw5bFBmUJjT
60,0.02,701.15,3036.39,3556.05,QmNnc5UwZpWGvSSRJEnPps9n9T8hrGxDNtqUKXLKhF23f8,4JXdi6SWU7rfSNsFpGQ3xijprKvEVxdhn5Mxqh7ZdW94
61,0.03,577.23,2902.24,3299.68,QmcoiBEvtizujG3G8jaj3Q9adFeAyPxGE3VoJxEeqVrH2w,5AKbLXTqyZa8MuDzqBYFhQNbfKE23je6nQ2i8nCjKvKf
62,0.03,587.58,802.12,6930.18,QmTqgEAGQyfykEPMwyQZbYumCWrMQsrwq4ZzQ46Y5ooVFB,BPtjwGwXrnNGPZh8y2cD98e3fJoTcRnNHatYrQtm6rDr
63,0.02,629.56,2994.67,6195.96,QmQ9ciufn6TuVtvofX6TxB2uFTDsVxFUAARURCmBG7LeXS,aknaVpSJNKmMuGxCbEVKjSFc6kbKC5bsQjUuZf4exJ5
64,0.02,630.26,2894.87,5767.87,QmbHGqpwpqGG3gBXtL1sVSdAy5ZLqhFhpvjiG8YssKNg3Z,2XBPiRC1RqGcseMZ6BbRpd35RdRGTFH8nk4k3hyLeJir
65,0.02,584.47,2929.03,25722.98,QmQEQ9WxbX47QbUD8awhD6fgDVGLo3VLnoNWGXFaa1d657,HtQZ8WQFVsceFB2kLkM8rDx6zCmiqRsKjEM21XsArKEB
66,0.02,672.60,811.76,4719.62,QmUPq3xGcVWoiZXK5tzdh5F3qPpz2XWJ1wFZBTp2KLCPaw,BE3KW56urs1dM92rrdM6RS6t8AegyxbakwwgZnaL9EoC
67,0.02,727.93,797.88,4834.27,QmdFxXdH9CVhyYF8HbXyQhpr5VpwXp9MCddvHUVKKDo5xK,BDyP9U9kbGCzrVA3VESJLo1xPwwdZtjzUEWLJ4QHTfqF
68,0.02,534.11,648.53,5939.65,QmTr2g5BWscn9Cw1TwRUrEqNbn6bQBC1yr8waenVWNo9tZ,6J8kQuLxCENMkze8h6DS9m8kFgfZZdAift84Q8wvQr6P
69,0.02,607.90,2965.84,7342.50,QmQehupiSiVKeRRs8q1zZ1msfoM46hixVons1dt5Cxf2v5,77JY9eBh8rM85JxwXbSRJxtWXPqwhyMrBvE1nfjHZA9b
70,0.02,708.06,1353.95,7481.72,QmbWhzdPzdWuT7auymLsCfMC6nUfPGpLmm5XayYLZjo9T3,HZASFNdvBsHpNHVnDTpfkABwW2XAoFCYZTKNp7ae1oe
71,0.07,816.23,1023.13,5815.88,QmWiHMJTfNZoSywhHv9mbWWPLx6kg6qCtidJ92DtYNd6xS,GxRMF2rzvpTf2FzhnGyjRARNcZ4wDenpzNsB6teXVmaD
72,0.05,842.66,3223.25,5174.06,QmfCZ6Ti4SMwkxbB5L33bKDFCj4KASo9b63ugY5iJefice,6UW52Mzyzdtr8jRAurmdQs1xbu3nfwhmRgL96jNuMxxg
73,0.04,1016.09,1016.39,7079.16,QmcPPE87V1Sf3U8YWS2W11TiYHLXEh62PjjKH9MtAXrE9p,56UscjiBhYrHn1gf5riUJhvMbrcPs8HM738FGnEfeZjE
74,0.03,818.31,986.77,6803.42,Qma9ZYrc3BSc34aQFCqkZbRq2KNGATdRgaEsV9khqwpoj1,H5AwSba9Y5xMqbZFFTekhjAJhTXa1CM43yNxhUkBw1fw
75,0.03,811.35,3277.52,7066.88,QmQAQNwRXNN8yx1YWL2kfdomM42yTsYwHqonDNG4scBaSZ,78GQggBJ889yMgWJE4DYUu1KAaoPTi3ULEubkooUqKRT
76,0.04,818.63,1128.83,4070.21,Qmdj5oXqDkeLvhPpPPFPxqMGfvW5krgMKcghCGCU4yr3bQ,8MkNc7BaqCcQV4ty3Gf2aK5WXdkhBSrxcCvKwKETA332
77,0.03,743.58,1019.79,7066.84,Qmac5xdzjS5EPdYfXML6UR5AUZuDfCGFAjJpvw6jVESmtP,3BSaS6SkGy1Hmd2ELiYf5dQk5yRZcWUiwXX39De4Qs5w
78,0.04,949.26,1010.97,6437.63,QmebgYcKJZ6Fp2Q7r58spyEppei7z8QcRkVJxrQQbXGsVH,7aTXjhLAfB4BwMe2xvGCtjQbCJL4ZeT93ecrWjgaMX5s
79,0.03,919.54,1023.82,6145.10,QmY5riCCmoyK3MLfez2n1hKKYEeL1d9wk3iP9gJK72eoai,RGi5XSb211XKKEa2ub6xT7VHcQaaU5PetoKd95fCVhP
80,0.02,827.20,1017.35,5733.20,QmfLqo88wvwhEPeKAD88qLkb51NQn9UDoMbCGSsJcUe4wr,Gq6h2kEfETr5FUyfqYdhxwoyCNikzfhH61s5a29qkjQL
81,0.03,614.45,1230.33,5118.33,Qmdf3PteGQHJniBz8q9RYyRfhRAdC7jJvSrSe2VKX4fAND,BcvKPVAbgGWFqcuhJjmJ3d5HsDk7hmkBT7bEA9diFdUp
82,0.03,818.45,1022.27,4815.60,QmREu9NfPL59UvA875C46Dmz8r9bdrCwJ7KQ8nXe76urKv,6Ej3Zw7u4WTVvXjZhmbzoDnNvHWBCVC42TdhTruSzAhb
83,0.02,715.68,3266.15,6976.13,QmeAS1yjo5YMG8mJ5SK22UTrjPZfvrLJkmDEkZk2GNhX9u,EHQwBMSoC1XMjrtqPir6a1kdNrNeAHwfK9fyPTes4hQy
84,0.04,817.61,1378.71,6409.36,QmUzfr56JjnXT9daWSfmadMEXmpiabiuPnEQ3tqjqf4eA5,A9vYouXobX9FBXsYEHjirjWvptjxiZAa1VCdDg8wPQbi
85,0.06,711.47,1128.64,5528.42,QmQfTSqghVnbQQgJXWBawBhfwSD7yjyfZ9sDrGmJmeN3sR,76CoxRtyqshu7kdsWQGsmWbPxjxz8MAHZAsoX9qJ8LK4
86,0.02,817.87,1024.30,3584.25,QmVuKE8g8d6LYbeuoatCCgboW7m3VkenNcpNUfkszjr2nM,5fTfJf5hspHWKXRfnkScx8MD2SkBaoNoXxeVenfr6LVD
87,0.02,408.68,3176.58,7371.94,QmSebCBVLY5s9ZsNxebSfwyHEN7YhBbxC8Hwj4U4ig9tS4,29o13nGqgMJi4hvFuGJmwhf7PX2ETCSmekgkzeJXys26
88,0.04,821.96,1125.56,26832.99,QmTnSGio2PNgFxpFdN8K9d3U9it6vU4uvgDC3tZEYbXeY9,7gMWaRiL9wMkJJkXhDtnSeDnpVcEmaFKuH2BRwVpjxqn
89,0.03,916.30,1020.40,6455.27,QmZ3UmZt5BDFg9WiF8QcHCPt4KwqcwJLGgtXVxg1L3A4Yq,2mUTwB6qJUQ8h6XyXfkyxzG5y2mn4jrEeWyrC3PkbNTm
90,0.03,1015.90,3277.59,7584.93,QmRN7KFHZW4727xLM8dwxYA7mU9pNC7DNVAfpraG6gKtQa,EWEzH2RtfSs7mjdQmdeaGaaENe8QdNjEbgBSBb5wYQTP
91,0.02,716.55,1128.84,4811.76,QmahJp1gnSCtFo84rSJtwRBG5nWYKrQoiWKPCNE8MLvmyG,G3ipXTST8aKdon5LahGpEGYQBZUKky6Z3pjfA9dZ2uzh
92,0.04,1013.37,1024.20,6248.42,Qmazd6WCVvBhZMV4rdC3v2VuCjPtJYwciYNq14AgSqQhg2,4gkQP3jhWTSn25pBvV8WQVU4M5YkJx3qV4cdK8yTB6ns
93,0.03,722.24,1022.18,7416.26,QmPqsWeJijFAifwydBGs6Xpf5j7bgJdrT3qYwbiJt1rrF8,47ZYJWd9exA7sJh2Ynw7Twbqpt5KGYXiqd4TskR8Dgv8
94,0.03,779.37,947.90,4159.08,QmVh3Aako9HRPBovSShtwF3NSDg2bMmLjkciRJhMPahPLz,4od8RHrpXoLoKr8vZveCrgdLqLGcznZEkDPXbA58ftvZ
95,0.03,597.58,3001.35,6348.18,Qmcp8pqZwB4pjWGUox3qDf5EFghFvodMXbBmcB8yUB9y1W,8YT2y3wvi2cNBMQVUA9WHRGrn6wewzUwsnU4d5a9zGm9
96,0.03,715.42,1904.28,7223.01,QmNMkHimN7Lu1rNoWYpLGpZ5MFzZQB4bUqsaXFy8b2pRnW,GzH59VTc2N2ah9ivKB1iJsv6yXvmAjpZQ1KQ4YnkX22t
97,0.04,681.89,881.44,5696.52,QmfD48UdTakzE9CnU9bf5we2eXRaCk5F8NFBWG9b6w1s7c,9wFetqYHcnZVDsd6qiJXpuA95HfCpgSbGrBrKLSWvBLY
98,0.04,816.89,1028.41,6752.91,QmeUPqiUyWsvocs1bBvciThshepnoHcMjSfRUUP2GNfjNz,3Hmc3AB5Up29mwgk7sXhkHqHJAYUa3oT2NghhJF6sTz7
99,0.02,923.14,1018.65,6766.83,QmNsBKNk5mnX3rWEd4rAb6wxDjRPFsLzVXyt6BF2deV7wu,7QVpiySzobcUdtBJDMfA683fgEr2heCeJ9ezyppuygk5
100,0.02,1012.44,3184.84,5119.31,QmYqh4ogSHEHWvDxZGxTWY1CLGJHR6owBzf3HeNNGd3tH2,5pRFb4JmZpj8sWNZQVRcnL9pFYYMfjRGQ11MetRPjita
